publication_year,country,site_id,site_name,area_type,control,control_method,month_start,month_end,year_start,year_end,anopheline_source,assi,identification_method1,identification_method2,identification_method3,identification_method4,anopheline_map,sample_method1,n1,sample_method2,n2,sample_method3,n3,sample_method4,n4,citation,pubmed_id,LongitudeF,Longitude,Latitude,elevation,elev_units
12/13/16 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,44.27,6.73,526,meters
12/13/16 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,44.2667,6.73333,526,meters
3/11/15 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,76.690002,11.4,2200,meters
11/12/17 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,76.95,11.02,433,meters
3/15/18 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,76.349998,11.18,261,meters
12/10/17 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,77.71,11.34,172,meters
3/19/18 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,77.17,9.42,1124,meters
3/16/18 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,77.57,10.22,1138,meters
3/6/18 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,78.13,12.3,478,meters
1/20/18 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,78.14,11.66,270,meters
3/21/18 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,78.24,9.91,115,meters
4/6/17 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,79.84,9.07,2,meters
4/6/17 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,79.839996,9.08,2,meters
4/6/17 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,79.839996,9.07,2,meters
,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,80.017,12.8881,35,meters
2/1/18 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,55.74,24.175,277,meters
2/1/18 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,55.740002,24.18,277,meters
3/22/14 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,72.873,22.678,39,meters
6/15/16 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,78.4378,17.3752,515,meters
6/15/16 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,78.440002,17.379999,515,meters
,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,84.7941,19.315,25,meters
,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,84.883,19.3017,24,meters
8/8/17 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,84.879997,19.299999,24,meters
,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,-79.98,32.77,6,meters
1/17/19 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,51.369999,25.469999,17,meters
5/15/10 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,71.488,34.008,359,meters
4/22/07 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,71.43,30.200001,125,meters
5/29/10 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,71.699997,34.139999,298,meters
3/21/13 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,72.669998,31.139999,166,meters
11/16/12 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,72.969,31.081,173,meters
11/3/12 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,72.879997,30.98,169,meters
11/2/12 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,73.019997,30.66,167,meters
11/2/12 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,73.018,30.661,167,meters
9/21/12 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,73.919998,31.690001,205,meters
9/11/12 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,74.269997,31.48,210,meters
9/12/12 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,74.254,31.493,208,meters
9/12/12 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,GBIF,,,74.266,31.491,210,meters
